ROI 1,ROI 2,t-stat,p-val
7Networks_RH_Cont_PFCmp_1,7Networks_LH_SomMot_4,4.394348961211944,2.1420485024889435e-05
7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_Par_1,-4.288112727349841,3.2842732971329114e-05
7Networks_LH_Default_PFC_1,7Networks_RH_Cont_Par_1,-4.2155020630717805,4.380274997610189e-05
7Networks_LH_Default_PFC_4,7Networks_LH_Limbic_TempPole_2,-4.103313682810765,6.789121766678608e-05
7Networks_RH_Default_PFCv_2,7Networks_LH_SalVentAttn_FrOperIns_1,-3.8870607374758754,0.00015433206723411747
7Networks_RH_Default_PFCv_2,7Networks_RH_SalVentAttn_Med_2,-3.8699440971890775,0.00016447551204321263
7Networks_LH_Default_PFC_1,7Networks_RH_SalVentAttn_Med_2,-3.8400097132654527,0.00018375530864442823
7Networks_RH_Cont_PFCl_3,7Networks_LH_SomMot_4,3.7433307215819185,0.0002617521345157421
7Networks_RH_Default_PFCv_2,7Networks_LH_SalVentAttn_Med_1,-3.739211140532284,0.00026568999827236706
7Networks_RH_Cont_PFCl_4,7Networks_RH_SomMot_6,3.6224688847128728,0.00040365886728496855
